tag	singular	plural	abbr
			aspect
pos	part of speech	parts of speech	PoS
s	sentence	sentences	sent.
q	question	questions	q.
prov	proverb	proverbs	prov.
	multi-word expressions	MWE	meerwoordige uitdrukking
phras	phraseme	phrasemes	phr.
expr	expression	expressions	expr.
	(grammatical) cases		naamval
Nm		nom.	nominatief
Vo		voc.	vocative
Ge		gen.	genitief
Da		dat.	datief
Ac		acc.	accusatief
			ablatief
			woordgeslacht
Ma			mannelijk
Fe			vrouwelijk
Ne			onzijdig
	(grammatical) numbers		woordgetal
Sg	singulars	sg.	enkelvoud
Pl	plurals	pl.	meervoud
	(grammatical) persons		(grammaticale) persoon
	eerste persoon	–	
	tweede persoon	–	
	derde persoon	–	
n	noun	nouns	n.
n.gr	noun phrase	noun phrases	NP
	common nouns	pn.	soortnaam
prop.n	proper noun	proper nouns	pn.
topo	toponym	toponyms	
demonym	demonym	demonyms	dem.
adj	adjective	adjectives	adj.
	diminutives	dim.	verkleinwoord
	degrees (of comparison)		trap van vergelijking
numeral	stellende trappen		θετικός
Cp	comparatives, comparative degrees	comp.	vergelijkende trap
Su	superlatives, superlative degrees	sup.	overtreffende trap
num	numeral	numerals	num.
Cd	cardinals, cardinal numerals		hoofdtelwoord
Od	ordinals, ordinal numerals	ord.	rangtelwoord
Ml	multiplicatives, multiplicative numerals		vermenigvuldigingsgetal
		evenredigheidsgetal	evenredigheidsgetallen
No	singulatives, singulative numerals		singulatief
Ct	collectives, collective numerals		verzameltelwoord
Aj	adjectival numerals, numeral adjectives		bijvoeglijk telwoord
No	nominals, nominal numerals		zelfstandig telwoord
Ad	adverbial numerals		bijwoordelijk telwoord
v	verb	verbs	vb.
	(grammatical) moods		(grammaticale) wijs
Nf	infinitives, infinitive moods		onbepaalde wijs
Id	indicatives, indicative moods		aantonende wijs 
Mp	imperatives, imperative moods		gebiedende wijs
Sj	subjunctives, subjunctive moods		aanvoegdende wijs
	conditional moods		voorwaardelijke wijs
	(grammatical) tenses		werkwoordelijke tijd
Pr	present tenses		tegenwoordige tijd
Pa	past tenses		verleden tijd
Ip	imperfective tenses		onvoltooid verleden tijd
Pe	perfective tenses		voltooid verleden tijd
Fu	future tenses		toekomstige tijd
	(grammatical) inflections		verbuiging
	conjugations		vervoeging
St			sterke vervoeging
We			zwakke vervoeging
			
Av	active voices		handelende vorm, actieve vorm, actief
Pv	passive voices		lijdende vorm, passief
Is	impersonal passive voices		onpersoonlijk passief
first person	hoofdwerkwoorden		
Vb	auxiliary verbs	aux.	hulpwerkwoord
	copulas		koppelwerkwoord
v.gr	verb phrase	verb phrases	VP
Pp	participles	ptcp.	deelwoord
adv	adverb	adverbs	adv.
adv.gr	adverb phrase	adverb phrases	ADVP
	multiplicative adverbs		vermenigvuldigingsbijwoord
As	adpositions	adp.	aanvoegsel
prep	preposition	prepositions	prep.
	postpostions		achterzetsel
			
conjunction			
conj	conjunction	conjunctions	cnj.
Co	coordinative conjunctions	coord.	nevenschikkend voegwoord
Sb	subordinative conjunctions	subord.	onderschikkend voegwoord
	determiners	det.	determinator
interr	question word	question words	q. word
At	articles	art.	lidwoord
Df	definite articles	def. art.	bepaald lidwoord
Id	indefinite articles	indef. art.	onbepaald lidwoord
pron	pronoun	pronouns	pro.
Ir	interrogative pronouns	int. pro.	vragend voornaamwoord
Pe	personal pronouns	pers.	persoonlijk voornaamwoord
Po	possessive pronouns	poss.	bezittelijk voornaamwoord
Dm	demonstrative pronouns	dem.	aanwijzend voornaamwoord
Re	relative pronouns	rel.	betrekkelijk voornaamwoord
Pn	reflexive pronouns	refl.	wederkerig voornaamwoord
Id	indefinite pronouns	indef.	onbepaald voornaamwoord
Ri	relative indefinite pronouns	relind.	onbepaald betrekkelijk voornaamwoord
interj	interjection	interjections	intj.
ptcl	particle	particles	ptcl.
PART			
PART			
PART			
morpheme			υπόλοιπο
morph	morpheme	morphemes	
abbr	abbreviation	abbreviations	abbr.
			
ΙΝΙΤ	initials		inititalen
ACRO	acronyms		acroniem
foreign word	–	–	–
Fw			vreemd woord
	loanwords		leenwoord
Tr	transliterations		transliteratie
Sy	symbols		symbool
DIG	digits		cijfer
PUNCT	punctuation		interpunctie
P_TERM_P	terminal punctuation marks		
O_PUNCT	open punctuation marks		
C_PUNCT	close punctuation marks		
ENUM	enumerations		opsomming
DATE	dates		datum
Xx			–
